ID;Aluno;Matricula;Periodo;Turma;CPF
1;Domakh;akh34430;2;BEB1970;50779018258
2;Cuekay;kay12785;1;BEB1970;98628566148
3;Zunoru;oru11111;2;BEB1970;86168178155
4;Ushri;hri94565;8;BEB1970;21203942868
5;Isxoti;oti16741;8;BEB1970;65304174923
6;Daoreapen;pen89050;4;BEB1970;61479236384
7;Daefe;efe98430;5;BEB1970;93285383824
8;Kios;ios47926;2;BEB1970;98579850469
9;Ferim;rim32587;2;BEB1970;15623503904
10;Amrod;rod79114;6;BEB1970;52761673339
11;Aegve;gve49958;5;HZF0457;47015426354
12;Ziub;iub56121;4;HZF0457;34084218492
13;Dezsoi;soi74836;1;HZF0457;29542964567
14;Thuresgio;gio93432;8;HZF0457;24307934632
15;Liupen;pen69274;6;HZF0457;28726559556
16;Isfos;fos26386;1;HZF0457;96258828084
17;Kasoy;soy48908;6;HZF0457;27105107701
18;Kubogen;gen83523;6;HZF0457;35307949641
19;Brodnazuo;zuo51025;6;HZF0457;88814727370
20;Pevi;evi77288;6;HZF0457;12372390536
21;Doaul;aul89591;1;JVK4352;58887149603
22;Thuos;uos90385;4;JVK4352;69820016770
23;Kabuk;buk33853;7;JVK4352;82741013490
24;Nialn;aln17865;4;JVK4352;54810628540
25;Furion;ion84082;1;JVK4352;74326094222
26;Wailas;las67449;1;JVK4352;22012798164
27;Ciulg;ulg41249;6;JVK4352;46747184443
28;Dauthir;hir56037;6;JVK4352;31133977059
29;Gratmakh;akh64863;1;JVK4352;42414159188
30;Durluaili;ili41351;7;JVK4352;38144059058
31;Pielyora;ora37722;3;JVO8046;71754234511
32;Soloa;loa13238;3;JVO8046;19565161427
33;Ghamre;mre39420;4;JVO8046;15112423346
34;Leingose;ose89330;6;JVO8046;76827431817
35;Elrod;rod97441;7;JVO8046;61374869504
36;Xiegiharzol;zol91974;4;JVO8046;65972671640
37;Huifu;ifu16666;4;JVO8046;76036333195
38;Xuwu;uwu41548;8;JVO8046;59914836567
39;Linalxe;lxe87799;8;JVO8046;39008403403
40;Xohu;ohu56064;4;JVO8046;14831439979
41;Agbuixi;ixi11941;3;KPZ2261;48688954913
42;Zuithal;hal17977;4;KPZ2261;78895126267
43;Zoyzol;zol22680;8;KPZ2261;79044586272
44;Labioili;ili48094;3;KPZ2261;40639817429
45;Pyeruoco;oco66385;3;KPZ2261;44932909406
46;Viat;iat38088;6;KPZ2261;74960737377
47;Dahkipui;pui28536;2;KPZ2261;11196881122
48;Unluloi;loi98136;5;KPZ2261;42964898322
49;Irhnikh;ikh45568;1;KPZ2261;22648772358
50;Gewiurti;rti59131;7;KPZ2261;81965868660
51;Gehiuthalion;ion22436;6;NCS7756;45968809825
52;Dwzye;zye78315;4;NCS7756;68467800048
53;Gramce;mce47719;7;NCS7756;35479428740
54;Xuriupio;pio12456;3;NCS7756;98578869036
55;Pinkeuxya;xya13868;8;NCS7756;90060267371
56;Kevus;vus52270;7;NCS7756;18775854732
57;Xarion;ion31964;3;NCS7756;60373072061
58;Hoabo;abo79772;3;NCS7756;17768428383
59;Thrli;rli30597;1;NCS7756;80106301046
60;Jotvafi;afi68062;4;NCS7756;45940314962
